RFID태그,발행일자,일련번호,라인번호,ERP키,시즌,오더차수,생산업체코드,발행장소,발행날짜,발행차수,일련번호
10000000011810100111803230100001, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00001
10000000011810100111803230100002, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00002
10000000011810100111803230100003, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00003
10000000011810100111803230100004, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00004
10000000011810100111803230100005, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00005
10000000011810100111803230100006, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00006
10000000011810100111803230100007, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00007
10000000011810100111803230100008, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00008
10000000011810100111803230100009, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00009
10000000011810100111803230100010, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00010
10000000011810100111803230100011, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00011
10000000011810100111803230100012, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00012
10000000011810100111803230100013, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00013
10000000011810100111803230100014, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00014
10000000011810100111803230100015, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00015
10000000011810100111803230100016, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00016
10000000011810100111803230100017, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00017
10000000011810100111803230100018, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00018
10000000011810100111803230100019, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00019
10000000011810100111803230100020, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00020
10000000011810100111803230100021, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00021
10000000011810100111803230100022, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00022
10000000011810100111803230100023, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00023
10000000011810100111803230100024, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00024
10000000011810100111803230100025, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00025
10000000011810100111803230100026, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00026
10000000011810100111803230100027, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00027
10000000011810100111803230100028, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00028
10000000011810100111803230100029, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00029
10000000011810100111803230100030, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00030
10000000011810100111803230100031, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00031
10000000011810100111803230100032, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00032
10000000011810100111803230100033, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00033
10000000011810100111803230100034, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00034
10000000011810100111803230100035, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00035
10000000011810100111803230100036, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00036
10000000011810100111803230100037, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00037
10000000011810100111803230100038, 2018-03-05, 1, 1, 1000000001, 181, 01, 001, 1, 180323, 01, 00038
